review_id,auto_place_id,google_place_id,accommodation_name,author_name,author_photo_url,rating,review_text,original_language,translated_text,publish_time,relative_time,created_at
11,3,ChIJc5Qg0cDR5zsR_hHSFAiO7r4,"Taj Mahal Tower, Mumbai",leon,,1,"Guest Feedback – Breakfast Experience  I truly appreciate the quality of service and facilities provided by the hotel—everything is excellent except the breakfast experience.  As an international and globally recognized hotel brand, I expected the breakfast to reflect that standard. Unfortunately, it falls short in several areas: •	The breakfast lacks international variety and is repeated every day without any change, which becomes boring and does not meet five-star expectations. •	The food quality is not up to international standards, and there’s no care taken by the restaurant management to improve or adjust the menu. •	The restaurant staff are friendly and professional, but the management needs to pay closer attention to guest satisfaction, especially for such an important meal.  This feedback is meant as a constructive suggestion, because I believe a hotel of this reputation should offer a more dynamic, high-quality, and internationally appealing breakfast.",en,,2025-07-29T16:36:17.592529314Z,,2025-09-03T10:59:18.890Z
12,3,ChIJc5Qg0cDR5zsR_hHSFAiO7r4,"Taj Mahal Tower, Mumbai",Rahil Kotadia,,5,"Staying at the Taj Mahal Tower was an experience I’ll never forget. We booked the Apollo Suite, and right from the moment I walked in, it felt like I was stepping into a whole different world – one of royalty and luxury.  The welcome was grand and the staff were super warm and made sure everything was perfect from the get-go.  The suite was huge, super spacious, and absolutely stunning – easily one of the most beautiful rooms I’ve ever stayed in. Every little detail was taken care of, and the room had all the modern comforts you could ask for.  The food was amazing – packed with flavor and beautifully presented. Also the service was impeccable. Everyone was so attentive and kind, always ready to help with a smile.  The entire hotel has this magical, old-world charm that makes you feel like you’re in a dream. From the architecture to the vibe, everything screams elegance.  It’s totally worth it – something you should experience at least once in your life.",en,,2025-07-17T06:32:38.713074598Z,,2025-09-03T10:59:18.890Z
13,3,ChIJc5Qg0cDR5zsR_hHSFAiO7r4,"Taj Mahal Tower, Mumbai",Rajesh Mulay,,5,"Our stay at the Taj Mahal Tower, Mumbai was truly exceptional. The room was impeccably clean and the bed was incredibly comfortable. We loved the breathtaking view from our window and the spacious bathroom. The staff were incredibly friendly and helpful, always going above and beyond to assist us. The breakfast buffet had a wide variety of delicious options, and the room service was prompt and efficient. The hotel's location was also superb allowing full sea view from our balcony and easy access to the city center. Overall, it was a fantastic experience and we highly recommend this hotel.",en,,2025-07-07T11:16:57.419567279Z,,2025-09-03T10:59:18.890Z
14,3,ChIJc5Qg0cDR5zsR_hHSFAiO7r4,"Taj Mahal Tower, Mumbai",Hope G,,3,"Hotel Taj is amazing but the service is not good. In the morning, the service is so bad as enough tables are not available and the waiters are so busy that they cant accommodate any request. When you want to order egg they ask you to place it from the table and when we do that, the egg will come after 1 hour and the whole food will be cold. The waiters will not listen or answer you. Another thing, the bags to the rooms are always late.",en,,2025-07-31T05:31:59.712158203Z,,2025-09-03T10:59:18.890Z
15,3,ChIJc5Qg0cDR5zsR_hHSFAiO7r4,"Taj Mahal Tower, Mumbai",Malhar Lakdawala,,5,"From the moment we arrived, we were greeted with a warm welcome that truly set the tone for our stay. The iconic views from the hotel were absolutely breathtaking, a perfect blend of luxury and heritage.  A special mention to Mayank, who went above and beyond to ensure we were comfortable and well taken care of throughout our stay. His attention to detail and genuine hospitality made all the difference.  We had a memorable experience and will definitely be coming back. Highly recommended for anyone looking to enjoy the true essence of Mumbai in style!",en,,2025-06-07T08:12:13.391443Z,,2025-09-03T10:59:18.890Z
16,4,ChIJicI_AALJ5zsRrMFrgB6LMEA,Grand Hyatt Mumbai Hotel & Residences,Venkat Reddy,,5,"One of the best hotel experiences I’ve had in a while. The room was spotless, the bed super comfortable, and everything just felt thoughtfully put together. Staff were genuinely warm and attentive without being pushy.  What really stood out was how quiet it was at night — perfect for catching up on sleep. Location was spot-on too, close to everything but tucked away just enough to feel peaceful. Would definitely stay here again without a second thought",en,,2025-08-26T07:25:43.068492175Z,,2025-09-03T10:59:18.890Z
17,4,ChIJicI_AALJ5zsRrMFrgB6LMEA,Grand Hyatt Mumbai Hotel & Residences,ANIRUDDHA DAS,,5,"The Grand Hyatt Mumbai represents the pinnacle of sophistication and service among Mumbai’s luxury hotels. Nestled on expansive, verdant grounds near the airport, its architecture and ambience make a compelling first impression. The breakfast offerings and dining venues deliver both variety and quality. Guests frequently commend the professionalism and warmth of the staff, who contribute significantly to its high ratings. While room decor varies between functional elegance and understated simplicity, the overall experience remains luxurious. A few operational delays—like during check-in or buffet service—offer opportunities for refinement, but they rarely detract from the hotel's overall stature.",en,,2025-08-16T08:05:43.212949304Z,,2025-09-03T10:59:18.890Z
18,4,ChIJicI_AALJ5zsRrMFrgB6LMEA,Grand Hyatt Mumbai Hotel & Residences,Nabi Shaikh,,5,"The establishment offers a wide array of amenities for guests to enjoy. Its elegant design and comfortable rooms provide a pleasant atmosphere. Visitors can savor delicious meals at the various dining options available. The staff is dedicated to providing exceptional service and ensuring a memorable experience. Overall, it presents an inviting space for relaxation and enjoyment.",en,,2025-07-25T05:25:25.692368845Z,,2025-09-03T10:59:18.890Z
19,4,ChIJicI_AALJ5zsRrMFrgB6LMEA,Grand Hyatt Mumbai Hotel & Residences,Meena Kumari,,5,"""Great location — close to everything we needed."" ""One of the best hotel experiences I've ever had! Everything was perfect.""  ""Exceptional service, great facilities, and attention to detail. Will definitely visit again!""  ""Exceeded all my expectations. A big thanks to the entire team!""",en,,2025-07-27T04:51:58.475237102Z,,2025-09-03T10:59:18.890Z
20,4,ChIJicI_AALJ5zsRrMFrgB6LMEA,Grand Hyatt Mumbai Hotel & Residences,Adv. Harshal Desale,,5,"Beautifully Located, the Property is full of facilities and comfort. Unlimited variety of food is mouth watering. The Spa, Gym, Pool etc. all are very well maintained. In short, A VERY VERY Satisfying experience.",en,,2025-08-25T04:50:25.445680386Z,,2025-09-03T10:59:18.890Z
21,5,ChIJSRH78kXJ5zsRMTuWOSp0uqI,"Taj Lands End, Mumbai",Aniket Upganlawar,,5,This is a very nice property which has something for everyone. We had the sea view rooms which really give the room a vibe.  My daughter loved the bunnies in the garden. Feeding them is not an experience she will forget soon.  Rooms and bathroom were both nice and spacious. General service was very nice even though it was a crowded weekend. Breakfast was handled well even though hotel was at capacity.,en,,2025-08-17T07:51:41.629186779Z,,2025-09-03T10:59:18.890Z
22,5,ChIJSRH78kXJ5zsRMTuWOSp0uqI,"Taj Lands End, Mumbai",Manthan Shah,,5,"Our stay at the Taj Lands End was absolutely exceptional – far beyond perfect! The location is truly stunning, offering breathtaking views of the Arabian Sea and the iconic Worli Sea Link. Our room was incredibly spacious and well-appointed with all the luxury amenities one could desire. The staff were consistently polite and provided top-notch hospitality throughout our stay.  What truly stood out was the beautifully designed kids' area. The inclusion of the small rabbit enclosure, fish pond, and bird area was a unique and delightful touch that our children absolutely loved. It created a wonderful atmosphere for them. Staying here felt like an escape from the hustle and bustle of Mumbai, allowing us to spend quality time with our family in a serene and luxurious setting. We highly recommend the Taj Lands End for a memorable and rejuvenating experience.",en,,2025-05-29T17:47:00.971366Z,,2025-09-03T10:59:18.890Z
23,5,ChIJSRH78kXJ5zsRMTuWOSp0uqI,"Taj Lands End, Mumbai",Anjali Asawa,,5,"Beautiful property located in Bandra with amazing view of sea on one side and city skyline on the other. Luxury at its finest. Hotel have activities for all age groups, be it enjoying with friends and family in 2 swimming pools or taking a stroll in private gardens or riding a cycle around or kids having a playtime. With great gym and even better trainers, you can continue to work on your fitness while on the trip. And hotel's multiple restaurants serve one of the best food around. With easy access and proximity to iconic places this place is a worth stay!",en,,2025-07-01T07:46:01.270139628Z,,2025-09-03T10:59:18.890Z
24,5,ChIJSRH78kXJ5zsRMTuWOSp0uqI,"Taj Lands End, Mumbai",Sagar,,5,"Relaxing experience at the spa and truly authentic Indian cuisine at the Masala bay restaurant. Comfortable rooms, with an amazing sea view. Well equipped gym and well maintained swimming pools. Polite and a friendly staff. Love visiting this place again and again.",en,,2025-08-16T19:08:01.080548666Z,,2025-09-03T10:59:18.890Z
25,5,ChIJSRH78kXJ5zsRMTuWOSp0uqI,"Taj Lands End, Mumbai",Lakshminarayan Rbalan,,3,"I had a not so good experience during my stay from 29th to 30th June 2025 (Sunday & Monday). I had booked 2 rooms and asked for an early Check in. I reached the Hotel by 1pm. I was given one room around 2pm which was a twin bed, while I had booked for a King bed. My family was sitting in the allotted room for almost 2 hours uncomfortably. After much follow up, I was given one room with king bed and had again to wait for another room for a while. Finally I got second room around 3.45 pm.I had plans to take rest and go for a swim in the pool, but because of the delayed check in, all my plans went for a toss. One of the rooms allotted had an uncleaned window therby obstructing the sea view for which I had specifically booked.  Next day morning, for breakfast at 9.30 am, there were 15 people waiting in the line outside the restaurant. We were asked to go to the other restaurant below. I had asked for a table for 5 which was given with 5 chairs and  only 4 table mats. Had to again wait for sometime requesting them to put the mat and the cutlery. Most of the food items were not even warm. Taste was just so so. Had to wait for bowls for sambar.  Overall, our high expectations of a great weekend at a reputed hotel was not satisfactory.",en,,2025-07-02T10:49:38.433999999Z,,2025-09-03T10:59:18.890Z
26,6,ChIJcVLrwD_I5zsRaaUtSlIRt1I,The Leela Mumbai - Resort Style Business Hotel,Arnab Ghosh,,5,"We stayed at The Leela Palace near Mumbai Airport from 16.07 to 18.07 and had a truly wonderful experience. From the moment we arrived, the service was outstanding — the team was always attentive to our requests and went above and beyond to make us feel welcome.  They accommodated an early check-in without any hassle, which was a huge relief after our journey. Breakfast and dinner were excellent, with a wide variety of delicious options and impeccable presentation.  Every staff member we met was helpful, supportive, and genuinely warm, making our stay both comfortable and memorable. We will definitely stay here again the next time we are in Mumbai. Highly recommended!",en,,2025-08-13T11:54:47.832575126Z,,2025-09-03T10:59:18.890Z
27,6,ChIJcVLrwD_I5zsRaaUtSlIRt1I,The Leela Mumbai - Resort Style Business Hotel,Mahesh Kulkarni,,3,Ambiance is good. Staff is hospitable. However the food is overpriced for the quality and variety as compared to any other 5 star + hotels. Breakfast and lunch buffet were good. However the food ordered in private dining was way below good quality bar. Tried giving the feedback and could not find appropriate forum to share while in the hotel.,en,,2025-08-12T06:46:51.854453459Z,,2025-09-03T10:59:18.890Z
28,6,ChIJcVLrwD_I5zsRaaUtSlIRt1I,The Leela Mumbai - Resort Style Business Hotel,Arian Soni,,2,"I recently stayed at The Leela Mumbai, and while the property is stunning and well-maintained, a few things left me thinking twice before I book again.  ✅ What stood out (and deserves applause): •	Citrus – Breakfast Buffet: Exceptional. The spread, freshness, and flavors were top-tier. A must-experience. •	Cleanliness & Amenities: Rooms were spotless, beds comfortable, and all amenities including spa, sauna, and swimming pool were well-managed and relaxing. •	Location: You really can’t beat it — central, premium, and peaceful. •	Special Mention: Paaji (Doorman/Host): A true gem! Right from the entrance, he made us feel at home. He greeted us with a respectful Namaste, handled our luggage smoothly, and opened the doors with genuine warmth. That’s the kind of welcome you expect from a luxury brand.  ❌ Where things fell flat: •	Customer Relations: I emailed my room preferences (pool view, specific requests) well before arrival — but received no response, and none of the requests were honored. •	Check-In Experience: Disappointing. The receptionist was cold and unwelcoming, no smile, no welcome drink, no personal touch. It felt like we were just another room number to him — not the Leela standard at all. •	Room Allocation: The main reason I booked Leela was for the view over the swimming pool, and it wasn’t provided even after communicating it in advance.  ⚖️ Final Thoughts:  The property is absolutely worth experiencing — beautiful interiors, relaxing amenities, and standout hospitality by individuals like Paaji. But the front desk team and guest communication need serious improvement if The Leela wants to continue being a name that stands for luxury.  Will I return? Maybe — but I’ll think twice, and only after ensuring better pre-arrival communication.",en,,2025-08-05T17:14:53.691547724Z,,2025-09-03T10:59:18.890Z
29,6,ChIJcVLrwD_I5zsRaaUtSlIRt1I,The Leela Mumbai - Resort Style Business Hotel,Jaggi Ayyangar,,5,"Hotel never fails to earn 5 stars: Rooms are great, with good air quality, service very prompt and thoughtful.  I checked out their Yoga by the pool - was beautiful under a flowering tree.  Food prepared to my taste.  What more can you ask after/before an international flight?",en,,2025-06-23T09:44:10.202971812Z,,2025-09-03T10:59:18.890Z
30,6,ChIJcVLrwD_I5zsRaaUtSlIRt1I,The Leela Mumbai - Resort Style Business Hotel,Kartik Soni,,5,"A Seamless Blend of Business and Relaxation  I had a wonderful stay at this resort-style business hotel. It offers the perfect balance between work and leisure. The rooms are spacious, well-designed, and equipped with everything a business traveler needs—from high-speed Wi-Fi to comfortable workspaces—while still feeling luxurious and relaxing.  The conference and meeting facilities are professional and well-maintained, and the staff goes out of their way to ensure everything runs smoothly. After a busy workday, the resort amenities—like the pool, spa, and scenic outdoor areas—offer the ideal way to unwind.  Dining was a highlight, with a variety of options and excellent service. Overall, this hotel is perfect for business trips, corporate events, or even a work-friendly vacation. Highly recommended for those who want comfort without compromising productivity.",en,,2025-07-17T12:22:26.115552908Z,,2025-09-03T10:59:18.890Z
31,7,ChIJH7A8Z-DP5zsRqMloyBcVlDs,Hotel Orient Regency,Raj Solanki,,5,"The best room for a Stay mostly Arbian is to stay there. The staff are very nice and the room is so neat and clean with no dust and walk-in distance near the station staff went above and beyond to make sure I had everything I needed. The hotel's location was perfect for visiting local attractions, and the breakfast buffet was delicious. Can't wait to come back!"" 😊👏",en,,2025-07-02T18:01:22.295501237Z,,2025-09-03T10:59:18.890Z
32,7,ChIJH7A8Z-DP5zsRqMloyBcVlDs,Hotel Orient Regency,Anish,,1,Worst hotel. Lost money in booking tha hotel as it was nothing as shown in picture. They arw fooling us showing 5 stat rooms . DONT BOOK,en,,2025-06-05T05:39:39.082496Z,,2025-09-03T10:59:18.890Z
33,7,ChIJH7A8Z-DP5zsRqMloyBcVlDs,Hotel Orient Regency,Shivani Ashokkumar Chaurasiya,,1,"We had the worst experience. There were not much vegetarian options, the area was very crowded, no windows in room and the service was terrible.",en,,2025-05-23T08:46:21.202398Z,,2025-09-03T10:59:18.890Z
34,7,ChIJH7A8Z-DP5zsRqMloyBcVlDs,Hotel Orient Regency,Mohseen Ahmed,,2,"Bad from room, bathroom and hygiene point of view. Not worth for the value paid. In spite of the bad condition of the room and bathroom there is no concession in tariff from reception.",en,,2025-02-28T21:17:58.814007Z,,2025-09-03T10:59:18.890Z
35,7,ChIJH7A8Z-DP5zsRqMloyBcVlDs,Hotel Orient Regency,Arjun Khurmi,,1,"I booked this hotel for my father to stay for a night, We didnt know that the hotel location is near the red light area kamathipura, but after booking within 15 min my father got to know about that and i wanted to cancel the booking but the staff online manager was so rude said we did nothing wrong and its not our fault. I agree, but within 15 min your room cant be wasted and if you refund the money there is no lose, but the travel agent(goibibo) also talked to them twice they were very rude with him as well, They were stick to hust one line its our policy with agent. My father didnt stay there as it also smelled alot of Non Veg food, and they didnt give the refund and above all staff doesnt know how to talk to a guest.. most bad experience ever in mumbai with hotel and also wasted ₹6100",en,,2024-06-21T09:30:20.514262Z,,2025-09-03T10:59:18.890Z
36,8,ChIJU_mVac3J5zsRFe2Mt2GVkfI,"Ginger Mumbai, Andheri East",H Khan,,5,The room was clean with all the basic amenities. The front office staff were very good and polite... Everything was good... Except the Room Ac was not effective in cooling and also the bed was very soft which was a bit uncomfortable as many don't prefer such soft mattress.,en,,2025-07-27T12:07:48.236623999Z,,2025-09-03T10:59:18.890Z
37,8,ChIJU_mVac3J5zsRFe2Mt2GVkfI,"Ginger Mumbai, Andheri East",saurabh pandey,,5,"The hotel and staff are both excellent. The behavior of the staff is very calm and polite. They treat their customers with great care and guide them through everything without any confusion or hassle. I really appreciated that they were genuine and honest from the moment I arrived.  As soon as I reached the entrance, I was warmly welcomed and invited to sit down, since I had traveled a long distance. They offered me a bottle of water, which was a thoughtful gesture. About five minutes later, a staff member came to collect my details and informed me that my room was ready. She politely asked for my ID cards and then personally guided me to the room.  The food was quite impressive—delicious and varied. The hotel offers a wide range of meals, beverages, sweets, and snacks, all of which were included in my booking.  Overall, my experience with the hotel and its staff was very positive. A special thanks to Miss Archita, who was exceptionally calm and polite. She handled the guests beautifully and made the entire process smooth and welcoming.",en,,2025-05-14T07:18:11.173528Z,,2025-09-03T10:59:18.890Z
38,8,ChIJU_mVac3J5zsRFe2Mt2GVkfI,"Ginger Mumbai, Andheri East",Kaustav Biswas,,2,"This is no way a 3 star hotel.. it behaves like a youth hostel with own rooms. The rooms are shabby, small, and half things don't work. Our, AC, TV, shower, and flush had some or the other issues even after changing the room. We had checked in late at night 1:00. They said they had a night long kitchen. So we ordered. The fried rice and chilly chicken was far worse than a road side thela.. the chicken was so hard that we could play ping pong with it and it would bounce back. Only good this its very close to the airport so it ensures you run out of the city faster. Overall very bad experience.",en,,2025-07-07T14:36:02.846872621Z,,2025-09-03T10:59:18.890Z
39,8,ChIJU_mVac3J5zsRFe2Mt2GVkfI,"Ginger Mumbai, Andheri East",Roshan Ahluwalia,,3,"The hotel’s location is good, but the property itself is average. The air conditioning in the rooms was extremely loud and not working efficiently. The first room I checked into had major cooling issues. After calling the reception three times, they finally agreed to change my room. However, the next room was no better. There were mosquitos and possibly bed bugs in the room. Additionally, the tariffs are higher than what the property offers. Would not recommend",en,,2025-05-26T16:41:41.090651Z,,2025-09-03T10:59:18.890Z
40,8,ChIJU_mVac3J5zsRFe2Mt2GVkfI,"Ginger Mumbai, Andheri East",V J,,3,The bed was comfortable but the toilets were very stinky with cockroaches roaming around. The room could've been better kept. Not the best of the Ginger hotels. Can stay for a day . The breakfast was really fresh and wholesome.,en,,2025-05-28T04:49:55.727048Z,,2025-09-03T10:59:18.890Z
41,9,ChIJE_i4Ur7R5zsRlD2SL5RRIsk,Fariyas Hotel Mumbai,Sum Alzadjali,,5,"I had a truly wonderful stay at the hotel! The entire staff was incredibly kind, welcoming, and always ready to help with a smile. Their hospitality made me feel right at home.  A special shoutout and lots of love to Eshan — you made our stay extra special with your kindness and positive energy. Thank you so much!",en,,2025-08-03T16:28:00.786534988Z,,2025-09-03T10:59:18.890Z
42,9,ChIJE_i4Ur7R5zsRlD2SL5RRIsk,Fariyas Hotel Mumbai,Abhijeet Vaze,,4,Nice place. Good food. Great pricing of the buffet. Quite far for most people but worth the distance for very special occasion treats. It's bang after Gateway of India!! So it's not a Tom Dick Harry location. Makes it special for your guests actually!! Many many iconic Bollywood movie songs have been shot in very close vicinity over the last half a century!! Must visit place!!,en,,2025-07-16T00:45:36.309222180Z,,2025-09-03T10:59:18.890Z
43,9,ChIJE_i4Ur7R5zsRlD2SL5RRIsk,Fariyas Hotel Mumbai,Alok Pandeyji,,5,Wow Amazing stay!!! Family holiday from Australia. Staff were polite and helpful and always keen for a small passing chat. The pool deck is amazing for an afternoon of cards and drinks. Buffet breakfasts and dinners were amazing with a large variety of foods for everyone.,en,,2025-07-14T10:50:26.469643915Z,,2025-09-03T10:59:18.890Z
44,9,ChIJE_i4Ur7R5zsRlD2SL5RRIsk,Fariyas Hotel Mumbai,Rumsheed M,,3,"I recently stayed at this hotel in Colaba, and while the location is fantastic with easy access to the markets, the rooms are a letdown. The hotel itself is quite old, and it shows in the room's condition and size.  The breakfast is good, but the restaurant is small, which makes it quite crowded during peak hours. If you're planning to grab breakfast, be prepared to wait or arrive early.  *Pros:* Good location, decent breakfast *Cons:* Old and small rooms, small restaurant gets crowded during breakfast.",en,,2025-06-30T10:35:19.000790526Z,,2025-09-03T10:59:18.890Z
45,9,ChIJE_i4Ur7R5zsRlD2SL5RRIsk,Fariyas Hotel Mumbai,aVI P,,2,"We were extremely disappointed when we discovered we had been placed on the smoking floor of the hotel without being asked. With rhinitis & allergies it was unbearable (for 4 days!). Even after complaining to the reception staff numerous times, we were not moved. Also there was tons of dust under the bed. It was only cleaned after asking 4 times on different occasions. Regarding breakfast, although a few restaurant staff were lovely/friendly, the bulk seemed unfocused & uninterested in being friendly or getting orders right or on time. Not a great experience.",en,,2025-05-02T05:24:55.458689Z,,2025-09-03T10:59:18.890Z
46,10,ChIJIagRS-nI5zsRGLstOKTvrHQ,"Trident, Bandra Kurla, Mumbai",Yuva Raj,,5,"From the moment I stepped into Trident, Bandra Kurla, the warmth and professionalism of the staff made me feel welcome. The lobby is elegant and beautifully maintained, setting the tone for a refined stay.  My room was immaculate, spacious, and thoughtfully designed with every modern convenience. The bed was incredibly comfortable, and the housekeeping team ensured everything was spotless each day.  The dining experience was another highlight — the breakfast buffet offered an impressive variety of fresh and delicious options, and the staff were attentive without being intrusive.  What truly stood out was the exceptional service — every request was handled promptly and with a smile, whether it was at the front desk, concierge, or in-room dining.",en,,2025-08-09T13:35:52.152320095Z,,2025-09-03T10:59:18.890Z
47,10,ChIJIagRS-nI5zsRGLstOKTvrHQ,"Trident, Bandra Kurla, Mumbai",Ataur_56,,5,"I had a wonderful stay at this hotel. The staff were extremely warm, welcoming, and always ready to help with a smile. The rooms were spacious, clean, and very well maintained, offering all the modern amenities one could need for a comfortable stay. The food was delicious with a good variety at breakfast, and the service in the restaurant was excellent.",en,,2025-08-27T15:05:46.082866905Z,,2025-09-03T10:59:18.890Z
